2081,656,1-MOVE-BLUE
2070,703,1-MOVE-BLUE
2076,750,1-MOVE-BLUE
2080,812,1-MOVE-BLUE
2078,859,1-MOVE-BLUE
2072,906,1-MOVE-BLUE
2081,953,1-MOVE-BLUE
2081,1000,1-MOVE-BLUE
2081,1062,1-MOVE-BLUE
2073,1109,1-MOVE-BLUE
2065,1156,1-MOVE-BLUE
2069,1203,1-MOVE-BLUE
2078,1250,1-MOVE-BLUE
2076,1312,1-MOVE-BLUE
2076,1359,1-MOVE-BLUE
2082,1406,1-MOVE-BLUE
2073,1453,1-MOVE-BLUE
2063,1500,1-MOVE-BLUE
2083,1562,1-MOVE-BLUE
2082,1609,1-MOVE-BLUE
2066,1656,1-MOVE-BLUE
2071,1703,1-MOVE-BLUE
2067,1750,1-MOVE-BLUE
2058,1812,1-MOVE-BLUE
2072,1859,1-MOVE-BLUE
2065,1906,1-MOVE-BLUE
2087,1953,1-MOVE-BLUE
2077,2000,1-MOVE-BLUE
2076,2062,1-MOVE-BLUE
2061,2109,1-MOVE-BLUE
2068,2156,1-MOVE-BLUE
2070,2203,1-MOVE-BLUE
2076,2250,1-MOVE-BLUE
2074,2312,1-MOVE-BLUE
2079,2359,1-MOVE-BLUE
2094,2406,1-MOVE-BLUE
2071,2453,1-MOVE-BLUE
2087,2500,1-MOVE-BLUE
2072,2562,1-MOVE-BLUE
2072,2609,1-MOVE-BLUE
2067,2656,1-MOVE-BLUE
2073,2703,1-MOVE-BLUE
2075,2750,1-MOVE-BLUE
2072,2812,1-MOVE-BLUE
2075,2859,1-MOVE-BLUE
2071,2906,1-MOVE-BLUE
2057,2953,1-MOVE-BLUE
2085,3000,1-MOVE-BLUE
2074,3062,1-MOVE-BLUE
2080,3109,1-MOVE-BLUE
2072,3156,1-MOVE-BLUE
2085,3203,1-MOVE-BLUE
2077,3250,1-MOVE-BLUE
2071,3312,1-MOVE-BLUE
2069,3359,1-MOVE-BLUE
2073,3406,1-MOVE-BLUE
2063,3453,1-MOVE-BLUE
2077,3500,1-MOVE-BLUE
2065,3562,1-MOVE-BLUE
2073,3609,1-MOVE-BLUE
2070,3656,1-MOVE-BLUE
2085,3703,1-MOVE-BLUE
2076,3750,1-MOVE-BLUE
2080,3812,1-MOVE-BLUE
2077,3859,1-MOVE-BLUE
2059,3906,1-MOVE-BLUE
2077,3953,1-MOVE-BLUE
2069,4000,1-MOVE-BLUE
2065,4062,1-MOVE-BLUE
2057,4109,1-MOVE-BLUE
2068,4156,1-MOVE-BLUE
2066,4203,1-MOVE-BLUE
2066,4250,1-MOVE-BLUE
2065,4312,1-MOVE-BLUE
2064,4359,1-MOVE-BLUE
2056,4406,1-MOVE-BLUE
2052,4453,1-MOVE-BLUE
2052,4515,1-MOVE-BLUE
2045,4562,1-MOVE-BLUE
2108,4609,1-MOVE-BLUE
2205,4656,1-MOVE-BLUE
2332,4703,1-MOVE-BLUE
2557,4750,1-MOVE-BLUE
3358,4812,1-MOVE-BLUE
3890,4859,1-MOVE-BLUE
4698,4906,1-MOVE-BLUE
5168,4968,1-MOVE-BLUE
5431,5015,1-MOVE-BLUE
6016,5078,1-MOVE-BLUE
6785,5125,1-MOVE-BLUE
7246,5187,1-MOVE-BLUE
8451,5234,1-MOVE-BLUE
10321,5296,1-MOVE-BLUE
12726,5359,1-MOVE-BLUE
13082,5421,1-MOVE-BLUE
11941,5484,1-MOVE-BLUE
11800,5546,1-MOVE-BLUE
11341,5609,1-MOVE-BLUE
11316,5671,1-MOVE-BLUE
10659,5734,1-MOVE-BLUE
10062,5796,1-MOVE-BLUE
10085,5859,1-MOVE-BLUE
10394,5906,1-MOVE-BLUE
10121,5968,1-MOVE-BLUE
9796,6031,1-MOVE-BLUE
9497,6093,1-MOVE-BLUE
8718,6156,1-MOVE-BLUE
8299,6218,1-MOVE-BLUE
7544,6281,1-MOVE-BLUE
7191,6328,1-MOVE-BLUE
7200,6390,1-MOVE-BLUE
6771,6453,1-MOVE-BLUE
6558,6515,1-MOVE-BLUE
6680,6562,1-MOVE-BLUE
6646,6625,1-MOVE-BLUE
6128,6671,1-MOVE-BLUE
5859,6734,1-MOVE-BLUE
5470,6781,1-MOVE-BLUE
5092,6843,1-MOVE-BLUE
4373,6890,1-MOVE-BLUE
4239,6937,1-MOVE-BLUE
4110,7000,1-MOVE-BLUE
3850,7046,1-MOVE-BLUE
4160,7093,1-MOVE-BLUE
4450,7156,1-MOVE-BLUE
4531,7203,1-MOVE-BLUE
4739,7250,1-MOVE-BLUE
4802,7312,1-MOVE-BLUE
4998,7359,1-MOVE-BLUE
5367,7421,1-MOVE-BLUE
6006,7468,1-MOVE-BLUE
6795,7531,1-MOVE-BLUE
6829,7578,1-MOVE-BLUE
7238,7640,1-MOVE-BLUE
7171,7687,1-MOVE-BLUE
7482,7750,1-MOVE-BLUE
