FrameSize,Timestamp,SessionID
14013,11406,1-STAND-BLUE
13659,11468,1-STAND-BLUE
13766,11531,1-STAND-BLUE
13762,11593,1-STAND-BLUE
13746,11656,1-STAND-BLUE
14121,11718,1-STAND-BLUE
14113,11781,1-STAND-BLUE
14100,11859,1-STAND-BLUE
13819,11921,1-STAND-BLUE
13571,11984,1-STAND-BLUE
13686,12031,1-STAND-BLUE
13530,12093,1-STAND-BLUE
13470,12156,1-STAND-BLUE
13478,12218,1-STAND-BLUE
13402,12281,1-STAND-BLUE
13750,12343,1-STAND-BLUE
13654,12406,1-STAND-BLUE
13515,12468,1-STAND-BLUE
13664,12531,1-STAND-BLUE
13593,12593,1-STAND-BLUE
13509,12656,1-STAND-BLUE
13672,12718,1-STAND-BLUE
13560,12781,1-STAND-BLUE
13534,12843,1-STAND-BLUE
13584,12906,1-STAND-BLUE
13558,12968,1-STAND-BLUE
13558,13031,1-STAND-BLUE
13879,13093,1-STAND-BLUE
13866,13156,1-STAND-BLUE
13659,13218,1-STAND-BLUE
13785,13281,1-STAND-BLUE
13931,13343,1-STAND-BLUE
14116,13406,1-STAND-BLUE
14211,13468,1-STAND-BLUE
13945,13531,1-STAND-BLUE
13844,13593,1-STAND-BLUE
14255,13656,1-STAND-BLUE
14212,13718,1-STAND-BLUE
14346,13781,1-STAND-BLUE
14171,13843,1-STAND-BLUE
14258,13906,1-STAND-BLUE
14124,13953,1-STAND-BLUE
14381,14015,1-STAND-BLUE
14424,14078,1-STAND-BLUE
14191,14140,1-STAND-BLUE
14204,14203,1-STAND-BLUE
14065,14265,1-STAND-BLUE
13652,14328,1-STAND-BLUE
13721,14390,1-STAND-BLUE
13348,14453,1-STAND-BLUE
13569,14515,1-STAND-BLUE
13804,14578,1-STAND-BLUE
13884,14640,1-STAND-BLUE
13858,14703,1-STAND-BLUE
14079,14765,1-STAND-BLUE
14142,14828,1-STAND-BLUE
13960,14906,1-STAND-BLUE
14039,14968,1-STAND-BLUE
14150,15015,1-STAND-BLUE
14127,15093,1-STAND-BLUE
14412,15156,1-STAND-BLUE
13867,15218,1-STAND-BLUE
13704,15281,1-STAND-BLUE
14302,15343,1-STAND-BLUE
14358,15406,1-STAND-BLUE
13999,15468,1-STAND-BLUE
14355,15531,1-STAND-BLUE
13931,15593,1-STAND-BLUE
13982,15671,1-STAND-BLUE
13766,15734,1-STAND-BLUE
14140,15796,1-STAND-BLUE
13849,15859,1-STAND-BLUE
13908,15921,1-STAND-BLUE
14067,15984,1-STAND-BLUE
14060,16046,1-STAND-BLUE
14138,16109,1-STAND-BLUE
14154,16171,1-STAND-BLUE
14537,16234,1-STAND-BLUE
14196,16296,1-STAND-BLUE
13817,16359,1-STAND-BLUE
14089,16421,1-STAND-BLUE
14431,16484,1-STAND-BLUE
14358,16546,1-STAND-BLUE
14158,16609,1-STAND-BLUE
14097,16671,1-STAND-BLUE
14165,16734,1-STAND-BLUE
14181,16796,1-STAND-BLUE
14321,16859,1-STAND-BLUE
14639,16921,1-STAND-BLUE
14474,16984,1-STAND-BLUE
14217,17046,1-STAND-BLUE
14107,17109,1-STAND-BLUE
13879,17171,1-STAND-BLUE
13735,17234,1-STAND-BLUE
13644,17296,1-STAND-BLUE
13481,17359,1-STAND-BLUE
13388,17421,1-STAND-BLUE
13183,17484,1-STAND-BLUE
13303,17546,1-STAND-BLUE
13173,17609,1-STAND-BLUE
13320,17671,1-STAND-BLUE
12918,17734,1-STAND-BLUE
12851,17796,1-STAND-BLUE
12908,17859,1-STAND-BLUE
12643,17921,1-STAND-BLUE
12724,17984,1-STAND-BLUE
12802,18046,1-STAND-BLUE
12894,18109,1-STAND-BLUE
13067,18171,1-STAND-BLUE
13000,18234,1-STAND-BLUE
13055,18296,1-STAND-BLUE
13138,18359,1-STAND-BLUE
13596,18421,1-STAND-BLUE
13639,18484,1-STAND-BLUE
13815,18546,1-STAND-BLUE
13651,18609,1-STAND-BLUE
13923,18671,1-STAND-BLUE
14110,18734,1-STAND-BLUE
14172,18796,1-STAND-BLUE
